Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Mean
G07,FAM,PfVarATS,Unkn,1414,NaN,NaN,0
G08,FAM,PfVarATS,Unkn,1415,NaN,NaN,0
G09,FAM,PfVarATS,Unkn,1416,NaN,NaN,0
G12,FAM,PfVarATS,Unkn,1419,36.45187379,NaN,36.45187379
H01,FAM,PfVarATS,Unkn,1420,NaN,NaN,0
H03,FAM,PfVarATS,Unkn,1422,NaN,NaN,0
H04,FAM,PfVarATS,Unkn,1425,36.74552352,NaN,36.74552352
H05,FAM,PfVarATS,Unkn,1426,NaN,NaN,0
H06,FAM,PfVarATS,Unkn,1427,NaN,NaN,0
H07,FAM,PfVarATS,Unkn,1428,NaN,NaN,0
H08,FAM,PfVarATS,Unkn,1429,NaN,NaN,0
H09,FAM,PfVarATS,Unkn,1430,36.3532373,NaN,36.3532373
H10,FAM,PfVarATS,Unkn,1431,NaN,NaN,0
A01,FAM,PfVarATS,Unkn,4783,NaN,NaN,0
A02,FAM,PfVarATS,Unkn,4784,NaN,NaN,0
A03,FAM,PfVarATS,Unkn,4785,NaN,NaN,0
A04,FAM,PfVarATS,Unkn,4786,36.36485186,NaN,36.36485186
A05,FAM,PfVarATS,Unkn,4787,NaN,NaN,0
A06,FAM,PfVarATS,Unkn,4788,38.08589156,NaN,38.08589156
A07,FAM,PfVarATS,Unkn,4789,NaN,NaN,0
A08,FAM,PfVarATS,Unkn,4790,NaN,NaN,0
A09,FAM,PfVarATS,Unkn,4791,NaN,NaN,0
A10,FAM,PfVarATS,Unkn,4792,NaN,NaN,0
A11,FAM,PfVarATS,Unkn,4793,NaN,NaN,0
A12,FAM,PfVarATS,Unkn,4794,NaN,NaN,0
B01,FAM,PfVarATS,Unkn,4795,NaN,NaN,0
B02,FAM,PfVarATS,Unkn,4796,NaN,NaN,0
B03,FAM,PfVarATS,Unkn,4797,NaN,NaN,0
B04,FAM,PfVarATS,Unkn,4798,NaN,NaN,0
B05,FAM,PfVarATS,Unkn,4799,NaN,NaN,0
B06,FAM,PfVarATS,Unkn,4800,NaN,NaN,0
B07,FAM,PfVarATS,Unkn,4801,NaN,NaN,0
B09,FAM,PfVarATS,Unkn,4803,NaN,NaN,0
B11,FAM,PfVarATS,Unkn,4805,NaN,NaN,0
B12,FAM,PfVarATS,Unkn,4809,NaN,NaN,0
C01,FAM,PfVarATS,Unkn,4806,NaN,NaN,0
C02,FAM,PfVarATS,Unkn,4807,NaN,NaN,0
C03,FAM,PfVarATS,Unkn,4808,42.96700849,NaN,42.96700849
C04,FAM,PfVarATS,Unkn,4810,NaN,NaN,0
C05,FAM,PfVarATS,Unkn,4811,NaN,NaN,0
C06,FAM,PfVarATS,Unkn,4812,42.0395491,NaN,42.0395491
C07,FAM,PfVarATS,Unkn,4813,NaN,NaN,0
C08,FAM,PfVarATS,Unkn,4814,NaN,NaN,0
C09,FAM,PfVarATS,Unkn,4815,NaN,NaN,0
C10,FAM,PfVarATS,Unkn,4816,NaN,NaN,0
C11,FAM,PfVarATS,Unkn,4817,NaN,NaN,0
C12,FAM,PfVarATS,Unkn,4818,NaN,NaN,0
D01,FAM,PfVarATS,Unkn,4819,NaN,NaN,0
D02,FAM,PfVarATS,Unkn,4820,NaN,NaN,0
D03,FAM,PfVarATS,Unkn,4821,NaN,NaN,0
D04,FAM,PfVarATS,Unkn,4822,NaN,NaN,0
D05,FAM,PfVarATS,Unkn,4823,44.33801434,NaN,44.33801434
D06,FAM,PfVarATS,Unkn,4824,NaN,NaN,0
D07,FAM,PfVarATS,Unkn,4825,NaN,NaN,0
D08,FAM,PfVarATS,Unkn,4826,NaN,NaN,0
D09,FAM,PfVarATS,Unkn,4827,NaN,NaN,0
D11,FAM,PfVarATS,Unkn,4829,NaN,NaN,0
E05,FAM,PfVarATS,Unkn,4835,40.68072855,NaN,40.68072855
E06,FAM,PfVarATS,Unkn,4836,NaN,NaN,0
E08,FAM,PfVarATS,Unkn,4838,NaN,NaN,0
E09,FAM,PfVarATS,Unkn,4839,37.80337845,NaN,37.80337845
E11,FAM,PfVarATS,Unkn,4841,NaN,NaN,0
E12,FAM,PfVarATS,Unkn,4842,NaN,NaN,0
F01,FAM,PfVarATS,Unkn,4843,NaN,NaN,0
F02,FAM,PfVarATS,Unkn,4844,NaN,NaN,0
F03,FAM,PfVarATS,Unkn,4845,NaN,NaN,0
F04,FAM,PfVarATS,Unkn,4846,NaN,NaN,0
F05,FAM,PfVarATS,Unkn,4847,NaN,NaN,0
F07,FAM,PfVarATS,Unkn,2811,37.08911369,NaN,37.08911369
F08,FAM,PfVarATS,Unkn,2812,NaN,NaN,0
F09,FAM,PfVarATS,Unkn,2813,NaN,NaN,0
F10,FAM,PfVarATS,Unkn,2814,NaN,NaN,0
F11,FAM,PfVarATS,Unkn,2815,NaN,NaN,0
F12,FAM,PfVarATS,Unkn,2816,NaN,NaN,0
G01,FAM,PfVarATS,Unkn,2817,NaN,NaN,0
G02,FAM,PfVarATS,Unkn,2818,39.88225173,NaN,39.88225173
G03,FAM,PfVarATS,Unkn,2819,NaN,NaN,0
G04,FAM,PfVarATS,Unkn,2820,NaN,NaN,0
G05,FAM,PfVarATS,Unkn,2821,NaN,NaN,0
G06,FAM,PfVarATS,Unkn,2822,NaN,NaN,0
G07,FAM,PfVarATS,Unkn,2823,NaN,NaN,0
G08,FAM,PfVarATS,Unkn,2824,NaN,NaN,0
G09,FAM,PfVarATS,Unkn,2825,NaN,NaN,0
G10,FAM,PfVarATS,Unkn,2826,NaN,NaN,0
G11,FAM,PfVarATS,Unkn,2827,NaN,NaN,0
G12,FAM,PfVarATS,Unkn,2828,NaN,NaN,0
H01,FAM,PfVarATS,Unkn,2829,NaN,NaN,0
H02,FAM,PfVarATS,Unkn,2830,NaN,NaN,0
H03,FAM,PfVarATS,Unkn,2831,NaN,NaN,0
